"STN
Code",Name of Monitoring Location,State Name,"Temperature
⁰C",pH,Conductivity (μmhos/cm),BOD (mg/L),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L),Arsenic (mg/L)
1657,"HOSPITAL - BUS STAND-
MAUSHIMA TEMPLE AREA, PURI",ODISHA,29.0,7.8,1089,1.2,0.70,2,2,-,0.2,-
3986,"IB THERMAL POWER STATION,
JHARSUGUDA",ODISHA,29.0,6.5,128,1.3,0.50,2,2,-,0.6,-
4863,"INSIDE GAJMARA UP SCHOOL,
GAJAMARA, DHENKANAL",ODISHA,24.0,7.0,418,1.1,0.90,2,2,-,0.4,-
4881,"INSIDE THE PREMISES OF DISTRICT HEAD QUARTER
HOSPITAL, NAYAGARH",ODISHA,30.0,7.4,1060,1.2,1.70,2,2,-,1.2,-
4877,"INSIDE THE PREMISES OF DISTRICT HEAD QUARTER
HOSPITAL, PARALAKHEMUNDI",ODISHA,31.0,7.3,593,1.0,12.10,2,2,-,0.5,-
4879,"INSIDE THE PREMISES OF
DISTRICT HEAD QUARTER HOSPITAL, PHULBANI",ODISHA,30.0,7.4,520,1.0,1.20,2,2,-,0.3,-
4896,"JAGANNATH TEMPLE, KORAPUT",ODISHA,23.0,7.4,318,1.0,0.60,11,27,-,0.2,-
1644,"JAGATPUR INDUSTRIAL AREA, CUTTACK",ODISHA,30.0,6.7,564,1.0,1.70,2,2,-,0.3,-
4869,"JODA WEST MANGANESE MINE
OF M/S TATA STEEL LTD. (BICHHAKUNDI COLONY), JODA",ODISHA,23.0,7.1,136,1.0,1.00,2,2,-,0.5,-
3992,"KALIAPANI, SUKINDA",ODISHA,22.0,7.3,291,1.0,1.00,2,2,-,0.3,-
1652,"KALPNA - LAXMINAGAR AREA, BHUBANESWAR",ODISHA,29.0,6.3,541,1.0,1.50,2,2,-,0.2,-
3993,"KAMARDA, SUKINDA",ODISHA,22.0,7.3,286,1.0,3.90,2,2,-,0.3,-
3974,"KANIHA, TALCHER",ODISHA,24.0,7.5,402,1.0,1.20,2,2,-,0.3,-
4894,"KASTURI NAGAR, RAYAGADA",ODISHA,23.0,7.1,308,1.0,1.40,2,2,-,0.4,-
1649,"KHANDAGIRI AREA,
BHUBANESWAR",ODISHA,29.0,5.8,820,1.2,1.10,2,2,-,0.2,-
3995,"KUANRPUR, BALASORE",ODISHA,26.0,7.3,287,1.0,0.70,2,2,-,6.1,-
3979,"KULAD, TALCHER",ODISHA,24.0,8.1,797,1.0,0.60,2,2,-,1.0,-
1645,"MADHUPATNA- KALYAN NAGAR AREA, CUTTACK",ODISHA,26.0,6.7,397,1.0,0.60,2,2,-,0.2,-
3973,"MAHANADI COAL FIELD AREA,
TALCHER",ODISHA,23.0,7.2,290,1.0,1.30,2,2,-,21.7,-
1653,"MANCHESWAR INDUSTRIAL AREA, BHUBANESWAR /
CHANDRASHEKHARPUR",ODISHA,28.0,6.0,228,1.7,1.40,2,2,-,0.2,-
4862,"MARKET COMPLEX, COURT CHHAK, KHADIA ROAD,
KENDAPARA",ODISHA,33.0,7.6,807,1.0,1.00,2,2,-,0.9,-
3976,"MERAMUNDALI AREA, TALCHER",ODISHA,24.0,7.7,1269,1.0,1.60,2,2,-,0.7,-
3989,"MUSADIHA, PARADEEP",ODISHA,33.3,8.2,1908,1.0,0.70,2,2,-,1.2,-
4901,"MV-43, MALKANIGIRI",ODISHA,24.0,7.0,633,1.0,1.00,2,2,-,0.3,-
3996,"NAIGOPALPUR, BALASORE",ODISHA,27.0,7.4,1089,1.0,0.70,2,2,-,0.2,-
3972,"NALCO TOWNSHIP, TALCHER",ODISHA,24.0,7.7,609,1.0,1.50,2,2,-,0.6,-
3966,"NEAR BADABAZAR, BERHAMPUR",ODISHA,31.0,7.1,908,1.0,36.20,2,2,-,0.2,-
4883,"NEAR BARGARH GOVT.
HOSPITAL",ODISHA,25.0,7.5,644,1.0,1.60,2,2,-,0.6,-
4887,"NEAR BOLANGIR MEDICAL
COLLEGE",ODISHA,27.0,7.5,1083,1.0,1.20,2,2,-,0.3,-
3965,"NEAR BUS STAND, BERHAMPUR",ODISHA,31.0,7.4,1047,1.0,4.20,2,2,-,0.6,-
4890,"NEAR BUTUPALLI CHHAK,
MAULISINGHA ROAD",ODISHA,28.0,7.7,2135,1.0,2.00,2,2,-,0.3,-
4884,"NEAR GANAPATI GOVT.
HOSPITAL",ODISHA,26.0,7.0,3217,1.0,1.30,2,2,-,0.3,-
4892,"NEAR GUNDICHA TEMPLE AT TENTEL GHAT, SONEPUR",ODISHA,27.0,7.6,682,1.0,0.80,2,2,-,0.4,-
1656,"NEAR JAGANNATH TEMPLE,
PURI",ODISHA,29.0,7.6,1272,1.0,1.40,2,2,-,0.2,-
1658,"NEAR KUSHABHADRA, PURI",ODISHA,30.3,8.4,41840,1.0,0.30,2,2,-,0.9,-
3964,"NEAR MKCG MEDICAL COLLEGE, BERHAMPUR",ODISHA,31.0,7.9,968,1.0,0.90,2,2,-,0.9,-
4886,"NEAR NILASAILA NAGAR (BACKSIDE OF VETERINARY
OFFICE",ODISHA,26.0,7.3,480,1.0,1.30,2,2,-,0.2,-
4885,"NEAR NUAPADA GOVT.
HOSPITAL",ODISHA,27.0,7.5,549,1.0,1.30,2,2,-,0.3,-
3970,"NEAR PANTHANIVAS,
SAMBALPUR",ODISHA,27.0,7.1,347,1.0,2.50,2,2,-,0.2,-
3967,"NEAR RAILWAY STATION STAND,
BERHAMPUR",ODISHA,32.0,7.2,647,1.0,15.80,2,2,-,0.3,-
3969,"NEAR RAILWAY STATION, SAMBALPUR",ODISHA,29.0,7.4,2473,1.0,31.60,2,5,-,0.4,-
1655,"NEAR SEA BEACH, PURI",ODISHA,29.0,8.0,1584,1.0,5.10,-,-,-,0.2,-
4878,"NEAR SOLID WASTE DISPOSAL
SITE OF GAJAPATI MUNICIPALITY AT RELLY SAHI",ODISHA,31.0,7.3,973,1.0,26.20,2,2,-,0.9,-
4882,"NEAR SOLID WASTE DISPOSAL
SITE OF NAYAGARH NAC AT BHALUKHOLA VILLAGE",ODISHA,30.0,7.8,1249,1.2,9.90,2,2,-,1.1,-
4880,"NEAR SOLID WASTE DISPOSAL SITE OF PHULBANI
MUNICIPALITY AT DADA PUJA MOUZA",ODISHA,31.0,7.4,816,1.0,1.30,2,2,-,1.4,-
4888,NEAR SUDPADA POST OFFICE,ODISHA,28.0,7.2,2339,1.0,0.80,23,49,-,0.4,-
4889,"NEAR TOWN GIRLS PRIMARY SCHOOL AND IN FRONT OF HEAD
POST OFFICE",ODISHA,27.0,7.6,2136,1.1,1.00,2,2,-,0.3,-
3968,"NEAR VSS MEDICAL COLLEGE,
BURLA, SAMBALPUR",ODISHA,30.0,7.5,710,1.0,1.30,2,2,-,0.8,-
1651,"OLD TOWN- SAMANTARAAIPUR
AREA, BHUBANESWAR",ODISHA,29.0,6.5,409,1.5,0.70,2,2,-,0.5,-
3985,"RAMPUR AREA (WATER TANK),
JHARSUGUDA",ODISHA,28.0,6.8,312,1.0,1.10,2,2,-,0.8,-
1648,"RANIHAT- MANGALABAGH
AREA, CUTTACK",ODISHA,26.0,7.0,220,1.0,1.30,2,2,-,0.5,-
4871,"ROIDA-II IRON ORE MINES OF M/S K N RAM & CO., TANTO,
BHADRASAHI, BARBIL",ODISHA,23.0,5.7,98,1.0,1.20,2,2,-,0.2,-
4866,"SALANDI HOSPITAL PREMISES NEAR UNAUTHORISED GARBAGE DISPOSAL SITE BY THE SIDE OF
NH",ODISHA,27.0,7.3,496,1.0,1.40,2,2,10,0.8,-
3991,"SARUABIL, SUKINDA",ODISHA,22.0,7.3,275,1.2,1.70,2,2,-,0.3,-
1654,"SECRETARIAT- GOVERNOR HOUSE- OLDBUS STAND AREA,
BHUBANESWAR",ODISHA,29.0,6.0,376,1.0,1.00,2,2,-,0.3,-
4900,"SITABUDIPARA (IRRIGATION
COLONY, WARD NO. 17), BHAWANIPATNA",ODISHA,24.0,7.3,841,1.0,1.50,2,2,-,0.3,-
3977,TALCHER THERMAL AREA,ODISHA,24.0,7.4,817,1.0,1.30,2,2,-,0.9,-
3975,TALCHER TOWN,ODISHA,24.0,7.2,282,1.2,1.20,2,2,-,0.2,-
4902,"TEKBADI OF NETAJI NAGAR,
MALKANIGIRI",ODISHA,23.0,6.9,1115,1.0,1.10,2,2,-,0.3,-
4874,"TENSA RESIDENTIAL AREA,
KOIRA",ODISHA,25.0,7.1,485,1.0,0.70,2,2,-,0.6,-
4872,"THAKURANI IRON ORE MINES OF
M/S KAYPEE ENTERPRISES NEAR VT CENTRE, BARBIL",ODISHA,24.0,6.4,151,1.0,1.20,2,2,-,0.8,-
3990,"TISCO, SUKINDA",ODISHA,22.0,7.2,302,1.0,1.40,2,2,-,0.3,-
4897,TOTAGUDA,ODISHA,22.0,6.6,649,1.0,1.70,2,2,-,0.2,-
4893,"WITNIN THE PREMISES OF BURDELLA PULLAMA TEMPLE,
RAYAGADA",ODISHA,23.0,6.9,1876,1.0,1.00,2,2,-,0.2,-
4632,MADUKARAI,PUDUCHERRY,30.0,7.6,1759,1.0,8.80,-,-,1154,-,0.001
4633,PANITHITTU,PUDUCHERRY,33.0,6.9,711,1.0,0.30,-,-,437,-,0.001
4631,THIRUKKANUR,PUDUCHERRY,30.0,7.7,1784,1.0,3.06,-,-,769,-,0.001
3884,"WELL AT CHEVALIER SELLANE GOVERNMENT HIGH SECONDARY SCHOOL, KALAPET",PUDUCHERRY,31.0,7.2,1354,1.0,11.30,-,-,939,-,0.001
3885,"WELL AT DHANDERAR KULAM,
SEDARAPET",PUDUCHERRY,31.0,7.6,1564,1.0,3.98,-,-,1217,-,0.001
3882,"WELL AT ECHANKADU,
KIRUMAMBAKKAM",PUDUCHERRY,33.0,7.0,498,1.0,0.30,-,-,273,-,0.001
1454,"WELL AT KALAPET, PONDI.
UNIVERSITY ADMN. BLOCK",PUDUCHERRY,31.0,6.1,770,1.0,2.30,-,-,438,-,0.001
1688,WELL AT KATTERIKUPPAM,PUDUCHERRY,31.0,7.7,789,1.0,1.10,-,-,498,-,0.001
3886,"WELL AT KOTHAPURINATHAM,
THIRUVANDARKOIL",PUDUCHERRY,31.0,7.7,1301,1.0,4.40,-,-,786,-,0.001
2009,WELL AT KURUMBAPET,PUDUCHERRY,32.0,6.8,706,1.0,4.00,-,-,465,-,0.001
2012,"WELL AT MARUTHI SCHOOL,
KARUVADIKUPPAM",PUDUCHERRY,31.0,7.6,2500,1.0,1.87,-,-,1648,-,0.001
2010,WELL AT METTUPALAYAM,PUDUCHERRY,33.0,6.5,837,1.0,8.00,-,-,626,-,0.001
1397,"WELL AT MUTHIALPET AREA(I) RAMAKRISHNA NAGAR/
KRISHNA NAGAR",PUDUCHERRY,31.0,6.1,1294,1.0,7.53,-,-,611,-,0.001
1453,WELL AT MUTHIRAPPALAYAM (PWD),PUDUCHERRY,31.0,7.1,750,1.0,5.27,-,-,599,-,0.001
1687,"WELL AT NEHRU STATUE
MISSION ST. - CHETTY KOIL",PUDUCHERRY,30.0,7.0,1970,1.0,1.60,-,-,1286,-,0.001
2446,WELL AT PALLUR,PUDUCHERRY,28.0,5.3,289,1.0,0.30,-,-,190,-,0.001
2447,WELL AT PANTHAKKAL,PUDUCHERRY,29.0,5.0,83,1.0,0.30,-,-,51,-,0.001
2013,"WELL AT T.R.PATTINAM,
KARAIKAL",PUDUCHERRY,28.4,8.4,2030,1.0,0.40,-,-,1093,-,0.001
1398,"WELL AT THENGAITHITTU AREA,
(II)",PUDUCHERRY,31.5,6.4,1867,1.0,0.30,-,-,1283,-,0.001
2011,WELL AT URUVAIYAR,PUDUCHERRY,32.0,8.0,1863,1.0,0.30,-,-,1309,-,0.001
2014,"WELL AT VADAMATTAM,
KARAIKAL",PUDUCHERRY,28.4,8.1,1511,1.0,0.50,-,-,851,-,0.001
3883,WELL NEAR BY LAKE BAHOUR,PUDUCHERRY,32.0,7.4,363,1.0,0.30,-,-,203,-,0.001
4155,"DAIRY COMPLEX, TAJPUR ROAD, LUDHIANA OPP SATISH DAIRY MEAR AMRIT DHARAM KANTA",PUNJAB,-,7.8,1329,1.0,0.30,2,2,783,0.3,0.001
4153,"DASHMESH NAGAR, GALI NO 12,
LUDHIANA",PUNJAB,-,8.0,905,1.0,0.30,2,2,504,0.2,0.001
2918,"DERA BASSI, PUNJAB",PUNJAB,-,8.5,2721,1.0,1.30,2,2,1548,0.9,0.001
2919,"DERA BASSI, PUNJAB",PUNJAB,-,8.4,1835,1.0,1.20,2,2,1195,0.9,0.001
4144,"GROUND WATER SAMPLING
BLOCATION IN VILLAGE MAIN",PUNJAB,29.0,8.3,604,1.0,1.20,2,2,327,0.3,0.001
1900,"GURCHAARAN SINGH HAIBOWAL DAIRY COMPLEX,
LUDHIANA",PUNJAB,-,7.6,1365,1.0,0.40,2,2,819,0.4,0.001
2920,"HAMIRA VILLAGE, PUNJAB",PUNJAB,35.0,7.4,1041,1.0,7.20,2,2,680,0.3,0.001
2921,"HAMIRA VILLAGE, PUNJAB",PUNJAB,35.0,7.5,510,1.0,1.20,2,2,281,0.6,0.001
4139,"HANDPUMP AT PARK ADJOINING TO NATIONAL INDUSTRIES, E-128, PH-IV, FOCAL
POINT LUDHIANA",PUNJAB,-,7.3,1860,1.0,11.00,2,2,1056,0.2,0.001
4156,"HANDPUMP IN AREA ON SUA ROAD NEAR DHANDARI KALAN,
LUDHIANA",PUNJAB,-,7.9,1045,1.0,0.60,2,2,602,0.2,0.001
4137,"HANDPUMP IN M/S DEEP STEEL
LTD, MUGHAL MAJRA, MANDI GOBBINDGARH",PUNJAB,-,7.8,917,1.0,0.70,2,2,607,0.6,0.001
4140,"HANDPUMP IN SAHOTA
BAGHBANI FARM, VILL HARIAN, MACHIWARA",PUNJAB,-,7.7,1636,1.0,9.20,2,2,931,0.3,0.001
4141,"HANDPUMP INSTRIAL GROWTH CENTRE, DEFENCE ROAD,
PATHANKOT",PUNJAB,29.0,7.7,472,1.0,1.20,2,2,263,0.2,0.001
4143,"HANDPUMP NEAR ASH DYKES OF NABHA POWER LTD, VILL
NALASH, RAJPURA",PUNJAB,29.0,8.0,1392,1.0,2.40,2,2,697,0.4,0.001
4138,"HANDPUMP, 149 NEAR SANT PRITAM SCHOOL, AMBEY
MAJRA, MANDI GOBINDGARH",PUNJAB,-,7.7,670,1.0,0.30,2,2,382,0.5,0.001
4142,"HANDPUMP, VILL DHERIWAL, DIST PATHANKOT",PUNJAB,24.0,7.4,498,1.0,1.40,2,2,273,0.2,0.001
2922,"LEATHER COMPLEX,
JALANDHAR, PUNJAB",PUNJAB,38.0,7.7,915,1.0,2.10,2,2,578,0.2,0.001
2923,"LEATHER COMPLEX,
JALANDHAR, PUNJAB",PUNJAB,38.0,7.6,2015,1.0,1.40,2,2,1502,0.9,0.001
2924,"MANDI GOBINDGARH, PUNJAB",PUNJAB,-,7.8,1054,1.0,0.70,2,2,690,0.7,0.001
2925,"MANDI GOBINDGARH, PUNJAB",PUNJAB,-,7.8,1084,1.0,0.80,2,2,718,0.8,0.001
4135,"MSW DUMPING SITE, JAMALPUR",PUNJAB,-,8.0,730,1.0,0.32,2,2,418,0.3,0.001
2917,"NEAR HARMANDIR SAHEB, AMRITSAR, PUNJAB",PUNJAB,-,7.6,1016,1.0,0.60,2,2,610,0.5,0.001
2916,"NEAR LANDFILL SITE, AMRITSAR,
PUNJAB",PUNJAB,-,7.8,912,1.0,1.40,2,2,540,0.4,0.001
1903,"PUNJAB AGRICULTURAL
UNIVERSITY, LUDHIANA",PUNJAB,-,8.0,516,1.0,0.30,2,2,348,0.2,0.001
2928,"ROPAR, PUNJAB",PUNJAB,-,7.5,517,1.0,0.30,2,2,305,0.5,0.001
2929,"ROPAR, PUNJAB",PUNJAB,-,7.8,570,1.0,0.30,2,2,335,0.3,0.001
4145,"SAGAR PARA DRAIN MEETING WITH GHAGGAR NEAR VILL
SAGAR PARA, PATRAN",PUNJAB,29.0,7.9,911,1.0,1.20,2,2,498,0.4,0.001
1902,"SHUKLA TEA STAL POINT, LUDHIANA",PUNJAB,-,7.3,1160,1.0,10.30,2,2,638,0.2,0.001
4136,STP JAMALPUR,PUNJAB,-,7.7,1747,1.0,0.30,2,2,1004,0.5,0.001
2930,"TOANSA, PUNJAB",PUNJAB,-,8.0,1625,1.0,3.70,2,2,915,0.5,0.001
2931,"TOANSA, PUNJAB",PUNJAB,-,8.2,1498,1.0,1.90,2,2,862,0.3,0.001
4154,"TSSM SR SEC SCHOOL
SHIMLAPURI, LUDHIANA",PUNJAB,-,8.1,915,1.0,1.20,2,2,552,0.3,0.001
4134,"TUBE WELL AT RSSB, TIBBA ROAD, LUDHIANA INDUSTRIAL
AREA",PUNJAB,-,8.0,550,1.0,0.40,2,2,331,0.4,0.001
1707,"BORE WELL IN MODI ALKALIS & CHEMICALS, MIA, ALWAR,
RAJASTHAN",RAJASTHAN,32.0,7.7,3090,-,3.04,4,7,2000,0.5,-
3002,"BORE WELL M/S R.C. PALACE HOTEL, BHIWADI, RAJASTHAN",RAJASTHAN,32.0,8.0,1629,-,3.10,93,150,1058,0.7,-
4166,"BORE WELL NEAR MSW SITE/
KANOTA DAM, JAIPUR",RAJASTHAN,29.0,8.1,3770,-,8.04,14,20,2440,1.3,-
4165,"BORE WELL NEAR STP AT GAJADHARPURA, JAIPUR",RAJASTHAN,30.0,7.6,1896,-,3.14,14,28,1232,0.8,-
3005,"BORE WELL OF M/S KUNDAN
EDIBLE FOOD PRODUCT, KHUSKHERA, RAJASTHAN",RAJASTHAN,29.0,8.4,1275,-,3.12,460,1100,825,0.7,-
3004,"BORE WELL OF M/S MODERN
PUBLIC SCHOOL, BHIWADI, RAJASTHAN",RAJASTHAN,30.0,8.2,1809,-,3.04,4,9,1175,0.6,-
3003,"BORE WELL OFFICE OF RAJ.
HOUSING BOARD, BHIWADI, RAJASTHAN",RAJASTHAN,30.0,7.9,2100,-,8.04,4,11,1365,0.6,-
3001,"BORE WELL SH. BHRAM JEET
SERVICE STATION, BHIWADI, RAJASTHAN",RAJASTHAN,29.0,8.2,2530,-,9.20,93,240,1646,1.0,-
2999,"BORE WELL SH. PREM CHAND, VILLAGE PHALSHA MODE RIA
CHOPNADI, RAJASTHAN",RAJASTHAN,28.0,7.9,2090,-,4.40,240,460,1356,0.6,-
3000,"BORE WELL SH. UMESH KUMAR
S/O SH. HORIDWARI RAM 3A-16 UIT, BHIWADI, RAJASTHAN",RAJASTHAN,30.0,8.1,1468,-,4.12,2,4,954,0.4,-
4182,"BOREWELL AT RO OF RSPCB,
BHIWADI, TIJARA, ALWAR",RAJASTHAN,30.0,7.8,4800,-,3.16,2,4,3678,0.8,-
4183,"BOREWELL AT STAR HOSPITAL,
INFRONT OF STP, BHIWADI, TIJARA, ALWAR",RAJASTHAN,28.0,8.2,3070,-,7.70,240,460,1996,0.8,-
4184,"BOREWELL IN CETP PREMISES,
BHIWADI, TIJARA, ALWAR",RAJASTHAN,30.0,8.2,2550,-,4.72,4,7,1655,0.4,-
4181,"BOREWELL IN THE HOUSE AKRAM KHAN, AMLAKI, KHARGANJ INDL AREA, TIJARA,
ALWAR",RAJASTHAN,27.0,7.9,5170,-,1.60,39,120,3350,0.4,-
4797,"BOREWELL NEAR MAIN GATE,
CITY PALACE, NEAR SHEETLA MATA TEMPLE, UDAIPUR",RAJASTHAN,27.0,7.7,1045,-,1.70,3,4,679,0.6,-
4765,"BOREWELL OF AJANTA TEXTILES
NAKODA ROAD, JASOL,",RAJASTHAN,27.0,7.9,27000,-,5.48,3,3,21254,0.5,-
4766,"BOREWELL OF AMRITLAL S/O
BACHARAJ & JOINT KRISHI FORM KH. NO. 66/15, BITHUJA",RAJASTHAN,27.0,7.9,17000,-,4.20,4,7,12164,0.6,-
4798,"BOREWELL OF BSNL OFFICE, SECTOR-03, HIRAN MARG,
UDAIPUR",RAJASTHAN,27.0,7.8,3410,-,2.68,14,28,2210,1.0,-
4180,"BOREWELL OF JYOTI UCHCH
MADHYMIC VIDHYALAYA,",RAJASTHAN,31.0,8.1,2550,-,8.80,64,120,1657,1.1,-
,"NAYAGAON, RAMPUR
MUNDANA, BHIWADI",,,,,,,,,,,
4763,"BOREWELL OF SHRI PEMARAM MALI/DHUDARAM MALI,
BITHUJA, BALOTRA",RAJASTHAN,27.0,7.8,7300,-,4.20,9,21,5184,0.7,-
4779,"BOREWELL OF VKIA
RECREATIONAL CLUB JAIPUR",RAJASTHAN,30.0,8.0,1272,-,3.68,11,20,826,0.7,-
1720,"CHAUDHARY KA WELL VILLAGE PANIALA, KOTAPUTALI NEAR ASSOCIATED ALCOHOL BREVERIES LTD JAIPUR,
RAJASTHAN",RAJASTHAN,30.0,8.2,4040,-,5.24,4,7,2620,1.0,-
4799,"HAND PUMP AT DISTRICT
COLLECTOR OFFICE, BARAN",RAJASTHAN,32.0,8.2,1280,-,3.04,4,9,906,0.9,-
4800,"TUBE WELL AT DISTRICT
COLLECTOR OFFICE, CHURU",RAJASTHAN,27.0,8.2,2900,-,6.20,4,9,2132,1.2,-
4801,"HAND PUMP AT DISTRICT
COLLECTOR OFFICE, DAUSA",RAJASTHAN,26.0,8.3,6200,-,5.60,7,14,4030,1.3,-
4802,"HAND PUMP AT DISTRICT
COLLECTOR OFFICE, KARAULI",RAJASTHAN,27.0,8.0,1900,13.2,3.08,7,11,1214,0.6,-
4170,"HAND PUMP AT VILLAGE
ATOON, BHILWARA",RAJASTHAN,19.0,7.9,1440,-,2.80,7,11,1064,1.1,-
4169,"HAND PUMP AT VILLAGE MANGROP, BHILWARA",RAJASTHAN,19.5,7.9,1140,-,3.04,9,14,832,1.1,-
3006,"HAND PUMP NEAR NEVTA TIRAHA, NEVTA DAM,
SANGANER, JAIPUR, RAJASTHAN",RAJASTHAN,26.0,8.0,2860,-,4.72,4,9,1855,1.0,-
4176,"HAND PUMP NEAR RIICO INUSTRIAL AREA, AAJOLIYON KA KHERA, GANGRAR,
CHITTORGARH",RAJASTHAN,24.0,7.8,2970,-,3.52,21,28,1797,1.1,-
1715,"HAND PUMP NEAR SECONDARY SCHOOL ABOUT 300MT. FROM
KANSUA NALLAH KOTA, RAJASTHAN",RAJASTHAN,28.0,7.9,1645,-,2.10,11,28,1069,1.2,-
1723,"HAND PUMP OF VIDHANI
VILLAGE GONER ROAD JAIPUR, RAJASTHAN",RAJASTHAN,27.0,8.0,9490,-,6.14,4,7,6210,1.4,-
4759,"HANDPUMP IN FRONT OF
URBAN IMPROVEMENT TRUST, CIVIL LINES, AJMER",RAJASTHAN,27.0,7.9,2900,-,2.80,7,11,1996,0.6,-
4791,"HANDPUMP NEAR M/S CHAMBLE FERTILIZER &
CHEMICALS, GADEPAN",RAJASTHAN,28.0,8.2,785,-,2.46,4,7,510,1.0,-
4792,"HANDPUMP NEAR M/S
RAJASTHAN TEXTILE MILLS, BHAWANI MANDI",RAJASTHAN,29.0,8.0,3500,-,2.06,14,21,2668,1.0,-
4760,"HANDPUMP WITHIN PREMISES OF NAGAR PARISHAD OFFICE, OLD CITY ROAD, DESHWALI
MOHALLA, KRISHANGARH",RAJASTHAN,28.0,8.1,1870,-,3.40,7,14,1226,0.7,-
2023,"HOTEL ORIENT PLACE, SUBHAS
NAGAR, UDAIPUR",RAJASTHAN,28.0,7.1,1310,-,2.06,7,14,992,0.8,-
2024,"IN SIDE SHIV TEMPLE NEAR AIR FORCE STATION AMER ROAD,
JAIPUR",RAJASTHAN,30.0,7.9,2350,-,4.72,3,4,1638,0.8,-
4783,"JHALANA FOREST PARK, NEAR
MALVIYA NAGAR IND. AREA, MALVIYA NAGAR JAIPUR",RAJASTHAN,25.0,7.3,1416,-,3.12,3,11,920,0.7,-
4764,"M/S ABHISHEK KOTHARI,
NAKODA ROAD MEWA NAGAR, JASOL, PACHPADRA,",RAJASTHAN,27.0,7.7,3500,-,4.12,7,11,2476,0.6,-
2969,"M/S SPECIALTY SILICA LTD., MIA ALWAR AGRO FOOD PARK, ALWAR, RAJASTHAN",RAJASTHAN,30.0,7.4,1203,-,1.82,9,23,782,0.5,-
2031,"NEAR 9 NO. PETROL PUMP, NEAR ADARSH NAGAR GATE,
AJMER",RAJASTHAN,27.0,8.2,1060,-,2.36,7,11,758,0.8,-
2027,"NEAR ABN CENTRAL ACADEMY,
SUSILPURA, SODALA, JAIPUR.",RAJASTHAN,29.0,8.0,1406,-,5.24,7,20,913,1.0,-
2021,"NEAR ARVIND GENERAL STORE,
ALOO FACTORY, KACCHI BASTI, SARDARPURA, UDAIPUR",RAJASTHAN,26.0,7.1,1962,-,3.10,4,9,1275,0.8,-
2026,"NEAR FOJI NAGAR, KACCHI
BASTI, AMBABARI, JAIPUR.",RAJASTHAN,30.0,7.8,1519,-,2.10,14,20,987,0.5,-
2029,"NEAR GANDHI BHWAN, AJMER",RAJASTHAN,27.0,8.1,1810,-,2.80,7,11,1236,1.2,-
2032,"NEAR KHANPURA TALAB, AJMER",RAJASTHAN,27.0,8.4,410,-,1.24,14,21,312,1.0,-
2022,"NEAR RANA PRATAP NAGAR, RAILWAY STATION, UDAIPUR",RAJASTHAN,27.0,7.3,1860,-,2.10,3,4,1258,1.0,-
2028,"NEAR SAMSHAN VISHWAKARMA
NAGAR, MAHARANIFARM, JAIPUR",RAJASTHAN,26.0,8.3,838,-,1.02,9,20,529,0.6,-
2025,"NEAR SHREE KALYANESHWAR MAHADEV TEMPLE, JAI SINGH
PURA KHURD, JAIPUR.",RAJASTHAN,30.0,8.0,1670,-,2.06,4,4,1198,0.7,-
2019,"NEAR UIT BRIDGE, UDAIPUR",RAJASTHAN,27.0,7.2,1370,-,2.80,7,14,1062,0.8,-
2020,"NEW FATEHPURA, 200 FT.FROM
PANCHWATI NALLAH, UDAIPUR",RAJASTHAN,26.0,7.1,1800,-,3.04,7,11,1292,0.8,-
4782,"OFFICE OF ASSISTANT ENGINEER, JAIPUR, VIDHUT VITRAN NIGAM LTD, RIICO IND. AREA, BAGRU,
TEHSIL-SANGANER,",RAJASTHAN,26.0,8.1,7270,-,5.36,7,11,4720,1.3,-
4796,"OPEN WELL OF SARAS DAIRY,
VILAS, NH-08, UDAIPUR",RAJASTHAN,28.0,7.0,1756,-,1.76,4,11,1141,0.8,-
4768,"OPENWELL OF SHRI ISHWAR SINGH MALI S/O BHURJI MALI,
DHANNA KI DHANI BILASAR,",RAJASTHAN,27.0,8.2,11000,-,4.56,75,120,8294,0.6,-
2015,"PABUPURA ROAD NEAR CIVIL
AIR PORT, JODHPUR (MANGILAL RATHOR)",RAJASTHAN,26.0,7.8,2900,-,2.74,9,14,1887,1.0,-
1721,"PHED WELL NEAR RAILWAY LINE
JHOTAWARA, JAIPUR, RAJASTHAN",RAJASTHAN,30.0,8.3,764,-,1.82,4,9,497,0.7,-
1725,"PUBLIC HAND PUMP BEFORE
SANGANER PULIA, RAJASTHAN",RAJASTHAN,27.0,7.6,2570,-,4.12,14,21,1734,0.8,-
4793,"PUBLIC TUBEWELL, VILLAGE-
NAMI, TEHSIL",RAJASTHAN,27.0,8.5,1400,-,4.72,4,9,1048,0.9,-
1706,"RIICO PUMP HOUSE NEAR MONTO MOTORS, MIA, ALWAR,
RAJASTHAN",RAJASTHAN,29.0,7.7,1318,-,3.32,3,4,878,1.0,-
2970,"RIICO TUBE WELL, RIA, BEHROR,
RAJASTHAN",RAJASTHAN,30.0,8.3,1360,-,1.80,9,20,1022,0.4,-
2971,"RIICO TUBE WELL, RIA,
NEEMRANA, RAJASTHAN",RAJASTHAN,32.0,7.4,3910,-,3.68,14,21,2540,0.7,-
